beta,eff_Dorfman,std_Dorfman,pool_Dorfman,eff_FeatCostly,std_FeatCostly,pool_FeatCostly,eff_FeatCheap,std_FeatCheap,pool_FeatCheap
0.0,7.259550524930881,0.04038665618647439,15.0,7.408779337715724,0.04803089661014837,24.0,5.794717487981257,0.04575168989247171,33.0
0.1,7.244914939226689,0.08436150851538018,15.0,9.1384984824309,0.08573124780087335,29.0,7.035739075204499,0.04294950825751964,38.0
0.2,7.263774388730036,0.0993604762624329,15.0,10.620211991254433,0.106578505946681,33.0,8.138629204555743,0.0752616804409023,43.0
0.30000000000000004,7.261789682794589,0.15070559123026597,15.0,11.988260788275975,0.11382622355180666,33.0,9.14432431970394,0.05822853513187036,48.0
0.4,7.259044045019241,0.13274152157152508,15.0,13.196136744131147,0.14613300285772962,38.0,9.998740558228967,0.09202782431676579,52.0
0.5,7.243975739949366,0.11582694427504699,15.0,14.450985980513114,0.1565525037081133,38.0,10.856178973170655,0.11411732152058936,57.0
0.6000000000000001,7.247208116173513,0.11444090119498891,15.0,15.550946366713497,0.2010317278481855,43.0,11.634787184976602,0.11494833871757591,57.0
0.7000000000000001,7.209821159789196,0.10869635023661291,15.0,16.597609999112287,0.2477468151202,43.0,12.378003833133475,0.10444527108796829,62.0
0.8,7.304874193181059,0.16375580959590008,15.0,17.641859855037907,0.22793948641166534,48.0,13.151236257439166,0.1527287122575419,62.0
0.9,7.186635075980634,0.15425083939287101,15.0,18.567588583964888,0.23807471033295266,48.0,13.794928343561763,0.15234827371314488,67.0
1.0,7.278980042309498,0.15808579899355554,15.0,19.429680931415813,0.2311861532640282,52.0,14.38305326482703,0.17824724053922383,71.0
