rho,eff_Dorfman,std_Dorfman,pool_Dorfman,eff_FeatCostly,std_FeatCostly,pool_FeatCostly,eff_FeatCheap,std_FeatCheap,pool_FeatCheap
0.0001,55.58758183832396,8.291747145390762,101.0,149.83046609086423,17.412419948449806,295.0,104.66417604923812,13.199021988197167,419.0
0.00015848931924611142,39.93908443323401,3.732904310461337,80.0,107.54688327833428,9.513119184909746,238.0,73.35253752026418,5.585154499888379,333.0
0.0002511886431509582,32.25155461595192,2.221026296754873,64.0,86.9420165048614,6.89827163513433,186.0,63.44469648972435,3.180266666109456,267.0
0.00039810717055349773,25.56566037702146,1.8957000165460791,51.0,70.0071604136115,2.489214148464174,148.0,48.61443379167977,2.139271004310877,209.0
0.0006309573444801943,19.82402173989217,0.7828773446721183,40.0,54.333396202382964,1.718979222976226,119.0,38.36156551182463,0.9124616943343358,167.0
0.001000000000000002,15.85965730164474,0.5128310860725342,32.0,41.6498032763471,1.1238688642996955,95.0,29.81199541476468,0.9202884957431428,133.0
0.0015848931924611173,12.847699798295443,0.44112871837458956,26.0,32.246697760650115,0.6010975461370137,76.0,23.432882268556245,0.4087529072727143,105.0
0.0025118864315095872,10.109706946358697,0.21671216901810467,20.0,24.933960488044647,0.514901693672943,62.0,18.23831722255262,0.3493163795894317,86.0
0.0039810717055349856,8.067756750715873,0.12988040391296152,16.0,19.060303674339856,0.29311090410762797,48.0,14.068023321978691,0.17772421540797048,67.0
0.006309573444801955,6.4820207568479065,0.09769673917567703,13.0,14.435806718011065,0.17688472021131874,38.0,10.865733964617455,0.10177804246915464,52.0
0.01000000000000004,5.163698754901795,0.06611499122280783,10.0,10.814864844745335,0.12110393123434496,33.0,8.28287267411674,0.07815447120877032,43.0
